Strap	captures	x	y	vm	vvi	heather	calluna	baer	moss	etgm	sigdm	fjaer	lichen	veg	pen	stdp	tueh	vindf	sti	kratt
1	1	9	-1	1.375	1.25	0.625	0	0.7	1.875	1.75	0	0	0	21	13.875	5.251984	5	0	0	0
2	4	9	2	1	1.875	1.25	0	0.7	1.875	1.125	1	0.25	0	16	14.3125	4.935838	15	0.5	0.625	0
3	16	9	6	1.625	1.5	0.75	0	0.7	2.125	0.5	0.625	0.625	0	20.75	17.4375	4.830028	8.75	2.5	0.25	0.625
4	7	9	9	2	1.25	0	0.25	0.75	2.25	0	1.625	0.125	0.75	21	14.125	1.821172	12.05	2.5	0	0.25
5	10	9	12	2	1.125	0	0	0.625	2.25	0	1.625	0	0.25	26	18.06667	2.491892	13.33333	8	0	0.375
6	0	9	15	0.375	0.625	0	0.125	0.7	2.375	0	0.75	0	1.25	17	15.375	2.918333	15	0	0.625	0.25
7	0	9	18	1.5	1.625	0.25	0	0.875	2.625	0.25	0.25	0	0.25	22.5	19.375	4.688639	6.666667	1.25	0.375	0.125
8	1	9	21	2.125	1.25	0.5	0	1.5	2.625	0.25	1.25	0.25	0	25.25	20.9375	4.493977	13.75	8.75	0	0.375
9	6	9	24	1.625	1.375	0.5	0.25	0.75	2.875	0.25	1	0	0.375	24	16.9375	5.297405	8.333333	1.25	0.125	0
10	4	9	28	1.75	1	0	0	0.875	2.75	1	0.5	0.375	0	23	18.75	3.549648	11.25	2	0	0.125
11	11	9	31	2.25	2.25	1.25	0	1.75	2.875	0	0.75	0	0	28.5	16.6875	3.8422	10	0	0.25	0.125
12	1	9	34	2.25	1.875	1	0.75	0.875	2.75	0	0.625	0.5	0.625	26.25	18.1875	3.798574	20	1.25	0	0.125
13	7	9	37	2.125	2.125	0.625	0	0.625	2.875	0.125	0.875	0.625	0.25	25.5	18.6875	3.534945	20.5	0	0	0
14	1	9	40	1.75	2	1.875	0.75	0.75	3	0	0.25	0	0.25	21	18.6875	3.070695	17.5	0	0.125	0
15	1	10	43	1.75	1.25	0.5	0.75	0.5	2.625	0.25	0.5	0	1.125	20.75	13.625	4.240676	2.75	1.25	0.125	0.125
16	5	10	46	2	1.75	0.875	0.75	0.75	2.875	0	0.625	0	0.25	27	13.5	3.05505	2.75	1.25	0	0
17	1	10	50	1.375	2	1.5	0.75	0.375	2.375	0	0.125	0	0.5	18.25	11.9375	2.719528	5	1.25	0.5	0
18	14	8	50	0	0.5	0	1.75	0	0.375	0	0	0	0.25	30.75	7.9375	2.619637	3.75	0	0.375	2.25
19	3	7	47	0.375	1.375	0.25	0.875	0.5	1.375	0	0.5	0	0.125	14.5	10.375	2.801785	5	1.25	0.625	0.75
20	1	6	37	0.375	1.5	1.25	0.125	0.125	1.25	0	0.125	0	2.375	10	12.5625	3.723238	6.666667	1.25	0.5	0
21	1	6	34	2.125	1.875	1.75	0.75	1.25	2.875	0	0.5	0	0.875	23	13.125	4.379878	15	6.25	0.5	0
22	4	6	31	2	1.75	0.5	1	0.5	2.625	0	1	0	0.75	22.5	13.5	3.705851	10	0.75	0.25	0.125
23	0	6	27	1.75	2.25	1	0.25	0.75	2.5	0	1	0	1	17.5	16.5	4.760952	11.25	0	0.5	0
24	7	3	28	1.75	2	0	0.875	1.375	2.75	0	1.25	0	0.875	22.5	14.0625	3.213902	6.25	5	0.25	0
25	7	2	24	1.5	1.5	1.125	0	0.75	2.875	0	0.375	0	1	18.75	15.1875	3.468309	10.75	0	0	0
26	2	5	24	1.875	2.25	0.25	0.875	1.25	2.75	0.25	0.75	0.125	0.25	29	16.5625	4.788441	13.75	3.75	0.25	0.75
27	0	5	21	1.75	1.75	0.25	1	1	3	0	1.125	0	0.375	20.5	15.25	4.434712	5.75	2	0.5	0.125
28	7	2	21	1.625	1.75	1.25	0.25	0.5	3	0	0.25	0	0	21.5	17.625	4.558874	18.25	2	0	0.125
29	1	3	18	0.125	2.25	0	1	0.375	2.875	0	0.625	0	0.5	13	17.1875	5.406401	7	2.25	0.5	0
