ID_2	Xt	Yt	MOS	pH	ARC	Altura	Zones(4)	TvsPP
256	376539.45	6419165.35	0.55	7.1	6.7	576	IV	0.229137199434229
351	311319.28	6250933.95	0.62	6.7	7.2	383	IV	0.247391952309985
354	322774.56	6196569.08	0.68	6.4	5.7	296	IV	0.273322422258592
327	342963.04	6193914.84	0.73	6.9	6.2	258	IV	0.261682242990654
356	314626.09	6153623.93	0.78	6.6	11.4	276	IV	0.303085299455535
239	394375.15	6156444.52	0.82	6.5	8.8	160	IV	0.243515850144092
300	364634.38	6141008.11	0.83	6.5	11.5	194	IV	0.264566929133858
121	478163.29	6197930.61	0.84	8.1	12.3	134	IV	0.227520435967302
13	583401.29	6415459.43	0.86	10	10.2	97	III	0.197021764032073
384	250409.82	6572977.82	0.87	7.4	7.2	224	I	0.429769392033543
299	354127	6154878.16	0.87	6.7	6.4	220	IV	0.267942583732057
355	313315.45	6173792.07	0.88	6.5	9.6	291	IV	0.295053003533569
328	343616.12	6170951.63	0.9	6.4	0	238	IV	0.270531400966184
176	440967.5	6227406.82	0.92	9.2	10.2	149	I	0.217948717948718
85	501033.99	6417871.62	0.97	8.6	12.9	160	III	0.215836526181354
301	322034.07	6722198.55	0.98	8	44.6	179	I	0.425357873210634
387	251673.61	6518741.32	1	7.5	6.9	271	I	0.403614457831325
240	400352.31	6138833.54	1.01	6.6	12.1	151	IV	0.244897959183673
304	333942.32	6663125.3	1.02	7.9	27.1	190	I	0.403543307086614
271	348711.77	6711924.3	1.08	7.2	6.4	130	I	0.388785046728972
209	414970.18	6156712.11	1.12	6.4	12.2	146	IV	0.238975817923186
325	342413.26	6226848.9	1.13	6.8	10.6	287	IV	0.247058823529412
125	454257.61	6632301.93	1.14	7.1	16.3	116	IV	0.23114956736712
59	521565.99	6479407.82	1.15	7.5	25.4	142	III	0.209443099273608
297	372915.38	6201693.21	1.16	6.8	8.4	224	IV	0.244252873563218
303	342934.94	6678616.6	1.16	7.4	10	194	I	0.393474088291747
228	401547.59	6373100.2	1.16	6.16	4.1	393	IV	0.209273182957393
333	314936.82	6654861.62	1.17	7.3	9.5	214	I	0.417177914110429
120	479213.36	6220086.55	1.18	8.8	15.8	133	IV	0.225981055480379
